epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9564,1.04267,4.67112,1.0925,0,0,0,0,0.69575,4.5359,0.87954,2.296e-05,2.296e-05,2.296e-05
2,125.565,0.62693,4.47206,0.94756,0,0,0,0,0.37714,4.45242,0.80178,4.4421e-05,4.4421e-05,4.4421e-05
3,186.052,0.5536,4.17712,0.92192,0,0,0,0,0.41164,4.39548,0.7933,6.26349e-05,6.26349e-05,6.26349e-05
4,248.916,0.5245,3.84083,0.91808,0.01611,0.08241,0.03501,0.03322,0.34377,4.13168,0.78593,7.76015e-05,7.76015e-05,7.76015e-05
5,309.043,0.50577,3.63843,0.91062,0.0259,0.26633,0.06919,0.06563,0.34112,3.84922,0.78961,8.9321e-05,8.9321e-05,8.9321e-05
6,368.72,0.37291,3.12388,0.83251,0.03375,0.4787,0.10692,0.1012,0.31891,3.5888,0.78997,9.77932e-05,9.77932e-05,9.77932e-05
7,427.915,0.36112,2.96755,0.84654,0.8453,0.09591,0.16586,0.158,0.31292,3.19465,0.79547,9.9056e-05,9.9056e-05,9.9056e-05
8,489.338,0.35328,2.6746,0.83867,0.69439,0.20048,0.22968,0.2178,0.31553,2.70404,0.80233,8.8232e-05,8.8232e-05,8.8232e-05
9,551.28,0.35263,2.53527,0.82942,0.61949,0.28252,0.27486,0.26205,0.30934,2.43074,0.80538,7.7408e-05,7.7408e-05,7.7408e-05
10,610.334,0.3405,2.39914,0.83689,0.61019,0.35041,0.34778,0.33196,0.30602,2.21247,0.80849,6.6584e-05,6.6584e-05,6.6584e-05
11,669.407,0.33648,2.28919,0.83877,0.65264,0.39606,0.41478,0.39637,0.29631,2.04745,0.81084,5.576e-05,5.576e-05,5.576e-05
12,730.323,0.3311,2.18123,0.83925,0.71942,0.39851,0.44385,0.42353,0.29292,1.87669,0.816,4.4936e-05,4.4936e-05,4.4936e-05
13,789.094,0.31734,2.08919,0.83406,0.75554,0.3993,0.46191,0.44075,0.29171,1.78305,0.81751,3.4112e-05,3.4112e-05,3.4112e-05
14,848.863,0.30988,1.97429,0.84037,0.79167,0.42399,0.48303,0.46206,0.29163,1.71944,0.81758,2.3288e-05,2.3288e-05,2.3288e-05
15,908.048,0.3196,1.98792,0.84251,0.79254,0.44074,0.49585,0.4755,0.28872,1.69576,0.81711,1.2464e-05,1.2464e-05,1.2464e-05
