epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.8553,1.20349,4.934,1.4736,0.30369,0.26618,0.09206,0.08478,0.48188,3.57393,1.02513,3.507e-05,3.507e-05,3.507e-05
2,43.0148,0.59499,3.18389,1.05769,0.5732,0.24529,0.28393,0.26129,0.40865,3.29666,0.93164,7.10991e-05,7.10991e-05,7.10991e-05
3,62.8284,0.5015,2.49096,1.00628,0.65236,0.51055,0.50322,0.47223,0.34495,1.857,0.89689,0.000106401,0.000106401,0.000106401
4,83.0374,0.46272,1.96374,0.97523,0.70577,0.70473,0.75025,0.70767,0.32831,1.15681,0.88429,0.000140975,0.000140975,0.000140975
5,103.444,0.43622,1.54659,0.94818,0.68224,0.75983,0.85546,0.80859,0.35317,0.82189,0.89113,0.000160387,0.000160387,0.000160387
6,123.73,0.41749,1.33588,0.94317,0.85145,0.7646,0.90972,0.86658,0.32139,0.69377,0.87986,0.000158733,0.000158733,0.000158733
7,144.206,0.39332,1.11161,0.90322,0.78305,0.91699,0.94008,0.8886,0.3155,0.57371,0.86474,0.00015708,0.00015708,0.00015708
8,165.185,0.39294,1.10463,0.92364,0.77295,0.9047,0.93298,0.89262,0.30314,0.54613,0.85962,0.000155427,0.000155427,0.000155427
9,186.742,0.38726,0.97088,0.91128,0.90518,0.81854,0.94206,0.91191,0.28001,0.48299,0.8475,0.000153774,0.000153774,0.000153774
10,207.711,0.37617,0.87444,0.90228,0.89608,0.90306,0.97325,0.93982,0.30423,0.46989,0.85475,0.00015212,0.00015212,0.00015212
11,228.458,0.36504,0.76638,0.89267,0.89267,0.92792,0.97158,0.93617,0.29331,0.40994,0.85651,0.000150467,0.000150467,0.000150467
12,249.071,0.36838,0.7304,0.89921,0.89124,0.95049,0.98039,0.94354,0.27262,0.34478,0.84331,0.000148814,0.000148814,0.000148814
13,270.132,0.35529,0.6853,0.88502,0.94478,0.93045,0.97877,0.94773,0.27416,0.31585,0.84335,0.00014716,0.00014716,0.00014716
14,291.255,0.36764,0.67365,0.89911,0.87848,0.96597,0.97723,0.94404,0.27966,0.328,0.84561,0.000145507,0.000145507,0.000145507
15,311.93,0.36207,0.6374,0.90888,0.9429,0.9396,0.99274,0.9651,0.26901,0.29694,0.84111,0.000143854,0.000143854,0.000143854
16,332.919,0.35634,0.5964,0.89909,0.93679,0.93852,0.99349,0.96843,0.26954,0.29935,0.83906,0.0001422,0.0001422,0.0001422
17,353.876,0.35187,0.5957,0.89327,0.8869,0.97288,0.99497,0.9711,0.27706,0.32066,0.83885,0.000140547,0.000140547,0.000140547
18,375.314,0.33954,0.54298,0.89334,0.91732,0.96905,0.99429,0.96486,0.28085,0.29826,0.84137,0.000138894,0.000138894,0.000138894
